,COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES
71,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Hotel Management,4219520.0
72,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Marketing,5325155.0
73,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Logistics & Supply Chain,869498.0
74,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in International Business,3032509.5
75,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Supply Chain Management,4153621.0
76,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Hospital/Healthcare Management,4219520.0
77,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Real Estate,5325155.0
78,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Risk Management,5325155.0
79,USA,MASTERS OF MANAGEMENT,"MASTER OF MANAGEMENT in Sports,Leisure & Tourism",3983382.5
80,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Wine & Gastronomy,207181.81
81,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Public Relations Management,2396319.8
82,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Sports Management,2034375.8
83,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Spriti Marketing,2571051.5
84,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Finance,3292942.8
85,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Eco-Design & Sustainable,1514341.0
86,USA,M.ENG,M.ENG in Mechanical,4447336.5
87,USA,M.ENG,M.ENG in Marine,877568.94
88,USA,M.ENG,M.ENG in Electrical,3022857.8
89,USA,M.ENG,M.ENG in Architecture,4125331.2
90,USA,M.ENG,M.ENG in Civil,4397996.0
91,USA,M.ENG,M.ENG in IT & Networking,4203544.5
92,USA,M.ENG,M.ENG in Chemical,4125331.2
93,USA,M.ENG,M.ENG in Computer Science Engineering,4447336.5
94,USA,M.ENG,M.ENG in Aerospace,3814641.8
95,USA,M.ENG,M.ENG in Biomedical,4422541.5
96,USA,M.ENG,M.ENG in Energy & Environment,4005515.2
97,USA,M.ENG,M.ENG in Industrial,3371156.0
98,USA,M.ENG,M.ENG in Production,1637485.2
99,USA,M.ENG,M.ENG in Nuclear,839876.8
100,USA,M.ENG,M.ENG in Nanotechnology,1457178.8
101,USA,M.ENG,M.ENG in Software,4214361.0
102,USA,M.ENG,M.ENG in Bio Engineering,3287950.5
